Common.Name,Binomial,Family,,
Erect-crested Penguin,Eudyptes sclateri,Spheniscidae,,
Red-billed Tropicbird,Phaethon aethereus,Phaethondidae,,
White-tailed Tropicbird,Phaethon lepturus,Phaethondidae,,
Craveri Murrelet,Synthliboramphus craveri,Alcidae,,
Gaudalupe Murrelet,Synthliboramphus hypoleucus,Alcidae,,
Scripps's Murrelet,Synthliboramphus scrippsi,Alcidae,,
Japanese Murrelet,Synthliboramphus wumizusume,Alcidae,,
Ancient Murrelet,Synthliboramphus antiquus,Alcidae,,
Tufted Puffin,Fraticula cirrhata,Alcidae,,
Horned Puffin,Fraticula corniculata,Alcidae,,
Parakeet Auklet,Aethia psittacula,Alcidae,,
Least Auklet,Aethia pusilla,Alcidae,,
Whiskered Auklet,Aethia pygmaea,Alcidae,,
Crested Auklet,Aethia cristatella,Alcidae,,
Long-billed Murrelet,Brachyramphus perdix,Alcidae,,
Kittiltz's Murrelet,Brachyramphus brevirostris,Alcidae,,
Spectacled Guillemot,Cepphus carbo,Alcidae,,
Marbled Murrelet,Brachyramphus marmoratus,Alcidae,,
Nazca Booby,Sula granti,Sulidae,,
Crowned Cormorant,Microcarbo coronatus,Phalacrocoracidae,,
Reed Cormorant,Microcarbo africanus,Phalacrocoracidae,,
Little Cormorant,Microcarbo niger,Phalacrocoracidae,,
Little Pied Cormorant,Microcarbo melanoleucos,Phalacrocoracidae,,
Pygmy Cormorant,"Microcarbo pygmaeus
",Phalacrocoracidae,,
King Shag,Leucocarbo carunculatus,Phalacrocoracidae,,
Stewart Shag,Leucocarbo chalconotus,Phalacrocoracidae,,
Chatham Shag,Leucocarbo onslowi,Phalacrocoracidae,,
Campbell Shag,Leucocarbo campbelli,Phalacrocoracidae,,
Bounty Shag,Leucocarbo ranfurlyi,Phalacrocoracidae,,
Aukland Shag,Leucocarbo colensoi,Phalacrocoracidae,,
Red-faced Cormorant,Urile urile,Phalacrocoracidae,,
Spectacled Cormorant,Urile perspicillatus,Phalacrocoracidae,,
Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocoracidae,,
Little Black Cormorant,Phalacrocorax sulcirostris,Phalacrocoracidae,,
Black-faced Cormorant,Phalacrocorax fuscescens,Phalacrocoracidae,,
Great Pied Shag,Phalacrocorax varius,Phalacrocoracidae,,
Spotted Shag,Phalacrocorax punctatus,Phalacrocoracidae,,
Northern Giant Petrel,Macronectes halli,Procellariidae,,
Southern Fulmar,Fulmarus glacialoides,Procellariidae,,
Snow Petrel,Pagodroma nivea,Procellariidae,,
Fulmar Prion,Pachyptila crassirostris,Procellariidae,,
Collared Petrel,Pterodroma brevipes,Procellariidae,,
Masatierra Petrel,Pterodroma defilippiana,Procellariidae,,
Stejneger's Petrel,Pterodroma longirostris,Procellariidae,,
Pycroft's Petrel,Pterodroma pycrofti,Procellariidae,,
Bonin Petrel,Pterodroma hypoleuca,Procellariidae,,
Murphy's Petrel,Pterodroma ultima,Procellariidae,,
Kermadec Petrel,Pterodroma neglecta,Procellariidae,,
Trindade Petrel,Pterodroma arminjoniana,Procellariidae,,
Herald Petrel,Pterodroma heraldica,Procellariidae,,
Henderson Petrel,Pterodroma atrata,Procellariidae,,
Phoenix Petrel,Pterodroma alba,Procellariidae,,
Mottled Petrel,Pterodroma inexpectata,Procellariidae,,
Hawaiian Petrel,Pterodroma sandwichensis,Procellariidae,,
Galapagos Petrel,Pterodroma phaeopygia,Procellariidae,,
Juan Fernandez Petrel,Pterodroma externa,Procellariidae,,
White-necked Petrel,Pterodroma cervicalis,Procellariidae,,
Soft -plumaged Petrel,Pterodroma mollis,Procellariidae,,
Bermuda Petrel,Pterodroma cahow,Procellariidae,,
Jamaican Petrel,Pterodroma caribbaea,Procellariidae,,
Cape Verde Petrel,Pterodroma feae,Procellariidae,,
Desertas Petrel,Pterodroma deserta,Procellariidae,,
Zino's Petrel,Pterodroma madeira,Procellariidae,,
Magenta Petrel,Pterodroma magentae,Procellariidae,,
Atlantic Petrel,Pterodroma incerta,Procellariidae,,
White-headed Petrel,Pterodroma lessonii,Procellariidae,,
Great-winged Petrel,Pterodroma macroptera,Procellariidae,,
Buller's Shearwater,Ardenna bulleri,Procellariidae,,
Cape Verde Shearwater,Calonectris edwardsii,Procellariidae,,
Christmas Shearwater,Puffinus nativitatis,Procellariidae,,
Galapagos Shearwater,Puffinus subalaris,Procellariidae,,
Bryan's Shearwater,Puffinus bryani,Procellariidae,,
Rapa Shearwater,Puffinus myrtae,Procellariidae,,
Newell's Shearwater,Puffinus newelli,Procellariidae,,
Townsend's Shearwater,Puffinus auricularis,Procellariidae,,
Bannerman's Shearwater,Puffinus bannermani,Procellariidae,,
Persian Shearwater,Puffinus persicus,Procellariidae,,
Subantarctic Shearwater,Puffinus elegans,Procellariidae,,
Little Shearwater,Puffinus assimilis,Procellariidae,,
Large St. Helen's Petrel,Pterodroma rupinarum,Procellariidae,,
Small St. Helen's Petrel,Bulweria bifax,Procellariidae,,
Beck's Petrel ,Pseudobulweria becki,Procellariidae,,
Fiji Petrel,Pseudobulweria macgillivrayi,Procellariidae,,
Mascarene Petrel,Pseudobulweria aterrima,Procellariidae,,
Boyd's Shearwater,Puffinus boydi,Procellariidae,,
Heinroth's Shearwater,Puffinus heinrothi,Procellariidae,,
Magellanic Diving-Petrel,Pelecanoides magellani,Procellariidae,,
Jouanin Petrel,Bulweria fallax,Procellariidae,,
Salvin's Prion,Pachyptila crassirostris,Procellariidae,Thought to dive,
Pincoya Storm-Petrel,Oceanites pincoyae,Oceanitidae,,
Elliot's Storm-Petrel,Oceanites gracilis,Oceanitidae,,
"Gray-backed Storm-Petrel
",Garrodia nereis,Oceanitidae,"Thought to eat algae off sea-surface substrate, cant access Stahl 1983",
White-bellied Storm-Petrel,Fregetta grallaria,Oceanitidae,,
Black-bellied Storm-Petrel,Fregetta tropica,Oceanitidae,,
Polynesian Storm-Petrel,Nesofregetta fuliginosa,Oceanitidae,,
Ringed Storm-Petrel,Oceanodroma hornbyi,Hydrobatidae,,
Townsend's Storm-Petrel,Oceanodroma socorroensis,Hydrobatidae,,
Ainley's Storm-Petrel,Oceanodroma cheimomnestes,Hydrobatidae,,
Band-rumped Storm-Petrel,Oceanodroma castro,Hydrobatidae,,
Monteiro's Storm-Petrel,Oceanodroma monteiroi,Hydrobatidae,,
Cape Verde Storm-Petrel,Oceanodroma jabejabe,Hydrobatidae,,
Wedge-rumped Storm-Petrel,Oceanodroma tethys,Hydrobatidae,,
Black Storm-Petrel,Oceanodroma melania,Hydrobatidae,,Species in red are excluded from all analysis because they are not associated with oceanic habitat
Gaudalupe Storm-Petrel,Oceanodroma macrodactyla,Hydrobatidae,,
Matsudaira's Storm-Petrel,Oceanodroma matsudairae,Hydrobatidae,,
Chilean Skua,Stercorarius chilensis,"Stercorariidae
",,
Long-tailed Jaegar,Stercorarius longicaudus,"Stercorariidae
",,
Saunder's Gull,Saundersilarus saundersi,Laridae,,
Andean Gull,Chroicocephalus serranus,Laridae,,
Gray Gull,Leucophaeus modestus,Laridae,,
Mediterranean Gull,Ichthyaetus melanocephalus,Laridae,,
White-eyed Gull,Ichthyaetus leucophthalmus,Laridae,,
Sooty Gull,Ichthyaetus hemprichii,Laridae,,
Pallas's Gull,Ichthyaetus ichthyaetus,Laridae,,
Audouin's Gull,Ichthyaetus audouinii,Laridae,,
Black-tailed gull,Larus crassirostris,Laridae,"Difference in Black-tailed Gull (Larus crassirostris) diet during
the breeding season for the last 10 years in the South Sea of
Korea",
Pacific Gull,Larus Pacificus,Laridae,,
Western Gull,Larus occidentalis,Laridae,,
Yellow-footed Gull,Larus livens,Laridae,,
Caspian Gull,Larus cachinnans,Laridae,,
Armenian Gull,Larus armenicus,Laridae,,
Slaty-backed Gull,Larus schistisagus,Laridae,,
Glaucous-winged Gull,Larus glaucescens,Laridae,,
"Great Black-backed Gull
",Larus marinus,Laridae,,
Gray Noddy,Anous albivitta,Laridae,,
Gray-backed Tern,Onychoprion lunatus,Laridae,,
Aleutian Tern,Onychoprion aleuticus,Laridae,,
Little Tern,Sternula albifrons,Laridae,,
Least Tern,Sternula antillarum,Laridae,,
Yellow-billed Tern,Sternula superciliaris,Laridae,,
Australian Fairy Tern,Sternula nereis,Laridae,,
Peruvian Tern,Sternula lorata,Laridae,,
Saunders's Tern,Sternula saundersi,Laridae,,
Damara Tern,Sternula balaenarum,Laridae,,
Large-billed Tern,Phaetusa simplex,Laridae,,
Caspian Tern,Hydroprogne caspia,Laridae,,
Inca Tern,Larosterna inca,Laridae,,
White-winged Tern,Chlidonias leucopterus,Laridae,,
Whiskered Tern,Chlidonias hybrida,Laridae,,
Roseate Tern,"
Sterna dougallii",Laridae,,
White-Fronted Tern,Sterna striata,Laridae,,
Black-Naped Tern,Sterna sumatrana,Laridae,,
Common Tern,Sterna hirundo,Laridae,,
South American Tern,Sterna hirundinacea,Laridae,,
Antarctic Tern,Sterna vittata,Laridae,,
Snowy-crowned Tern,Sterna trudeaui,Laridae,,
White-cheeked Tern,Sterna repressa,Laridae,,
Kerguelen Tern,Sterna virgata,Laridae,,
Great Crested Tern,Thalasseus bergii,Laridae,,
Chinese Crested Tern,Thalasseus bernsteini,Laridae,,
Sandwich Tern,Thalasseus sandvicensis,Laridae,,
Lesser Crested Tern,Thalasseus bengalensis,Laridae,,
Falkland Steamer Duck,Tachyeres brachypterus,Anatidae,,
White-headed Steamer Duck,Tachyeres leucocephalus,Anatidae,,
Stejneger's Scoter,Melanitta stejnegeri,Anatidae,,
Bufflehead,Bucephala albeola,Anatidae,,
Hooded Merganser,Lophodytes cucullatus,Anatidae,,
Red-breasted Merganser,Mergus Serrator,Anatidae,,
